Α/Α Διαγωνιστικής Διαδικασίας;Συνοπτικός Τίτλος;Τίτλος/Αντικείμενο;Προϋπολογισμός (€ χωρίς ΦΠΑ);Ημ/νία Δημοσίευσης στο Portal;Ημ/νία Έναρξης Υποβολών;Καταληκτική Ημ/νία Υποβολών;Κωδικός CPV;Περιγραφή CPV;Αναθέτουσα Αρχή/Αναθέτων Φορέας;Τόπος Παράδοσης;Κατάσταση;Link
367793;Κλίβανος αποστείρωσης θερμοευαίσθητων υλικών;ΔΙΑΚΗΡΥΞΗ υπ’ αριθμ. 15/2025 με αντικείμενο την προμήθεια κλιβάνου αποστείρωσης θερμοευαίσθητων υλικών CPV: 33152000-0, για την κάλυψη των λειτουργικών αναγκών του Τμήματος Αποστείρωσης του Π.Γ.Ν.Αλεξανδρούπολης, προϋπολογισθείσας δαπάνης 110.000,00€ πλέον του αναλογούντος Φ.Π.Α.;110.000;2025-02-17;2025-02-17;2025-03-05;33152000-0;Κλίβανος;Π.Γ.Ν. ΕΒΡΟΥ(ΑΛΕΞΑΝΔΡΟΥΠΟΛ.-ΔΙΔΥΜΟΤΕΙΧΟ), ., ., .;6ο χλμ Αλεξανδρούπολης Μάκρης περιοχή Δραγάνα Αλεξανδρούπολη;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367793
365790;Η αριθμ. 01/2025 Διακήρυξη για προμήθεια πετρελαίου κίνησης για τον ΠΣ Πειραιά;Διακήρυξη αριθ. 01/2025 Ηλεκτρονικού, Ανοικτού, Διεθνούς Διαγωνισμού για την Προμήθεια πετρελαίου κίνησης (diesel) του Πλοηγικού Σταθμού Πειραιά για τα έτη 2025-2026-2027-2028, συνολικής εκτιμώμενης αξίας σύμβασης ενός εκατομμυρίου εννιακοσίων είκοσι τεσσάρων χιλιάδων οκτακοσίων ευρώ #1.924.800,00€# (απαλλάσσεται Φ.Π.Α.) με κριτήριο κατακύρωσης την πλέον συμφέρουσα από οικονομική άποψη προσφορά αποκλειστικά βάσει τιμής.;1.924.799;2025-02-17;2025-02-18;2025-03-26;09134100-8;Πετρέλαιο ντίζελ;ΥΠΟΥΡ. ΝΑΥΤΙΛΙΑΣ & ΑΙΓΑΙΟΥ, -, -, -;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/365790
366922;Διαγωνισμός 02/2025/ΕΛΔΥΚ;Διαγωνισμός 02/2025/ΕΛΔΥΚ για την προμήθεια της ΕΛΔΥΚ με κρέας και προϊόντα κρέατος.;161.979;2025-02-17;2025-02-17;2025-03-15;15110000-2,15130000-8;Κρέας,Προϊόντα κρέατος;ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ-, ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366922
367318;ΘΕΡΜΟΚΟΙΤΙΔΕΣ, ΜΕΙΚΤΕΣ ΑΕΡΑ-ΟΞΥΓΟΝΟΥ, HOLTER ΡΥΘΜΟΥ- ΠΙΕΣΗΣ;ΠΡΟΜΗΘΕΙΑ ΘΕΡΜΟΚΟΙΤΙΔΩΝ, ΜΕΙΚΤΩΝ ΑΕΡΑ-ΟΞΥΓΟΝΟΥ, HOLTER ΡΥΘΜΟΥ- ΠΙΕΣΗΣ, ΔΙΑΚΗΡΥΞΗ ΑΡΙΘ. 8/2025;34.690;2025-02-17;2025-02-17;2025-03-17;33123210-3,33157800-3,33190000-8;Διάφορες ιατρικές συσκευές και προϊόντα,Μονάδα χορήγησης οξυγόνου,Σύστημα παρακολούθησης της καρδιάς;Π.Γ.Ν. ΠΑΤΡΩΝ, ., ., .;Αβέρωφ 12 Αθήνα, Πανεπιστιστημίου 322 ΡΙΟ ΠΑΤΡΩΝ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367318
367555;462/12-2-2025;ΣΥΣΤΗΜΑ ΕΛΕΓΧΟΥ ΔΙΑΡΡΟΩΝ & ΕΞΟΙΚΟΝΟΜΗΣΗΣ ΕΝΕΡΓΕΙΑΣ ΔΙΚΤΥΩΝ ΥΔΡΕΥΣΗΣ ΔΗΜΟΥ ΑΓΡΑΦΩΝ;2.993.404;2025-02-17;2025-02-17;2025-03-14;32441100-7;Τηλεμετρικό σύστημα παρακολούθησης;ΔΙΚΤΥΟ ΕΛΛΗΝΙΚΩΝ ΠΟΛΕΩΝ ΓΙΑ ΤΗΝ ΑΝΑΠΤΥΞΗ, ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367555
366975;ΛΕΙΤΟΥΡΓΙΑ ΚΑΙ ΣΥΝΤΗΡΗΣΗ ΚΔΚ 2025;1. Η συντήρηση του Συστήματος Διαχείρισης της Κυκλοφορίας (ΣΔΚ) στο Νομό Αττικής. 2. Η λειτουργία του Κέντρου Διαχείρισης της Κυκλοφορίας (ΚΔΚ) με την επάνδρωσή του με κατάλληλα εξειδικευμένο τεχνικό προσωπικό, για τις ανάγκες διαχείρισης της κυκλοφορίας. 3. Η διάθεση τριών (3) αυτοκινούμενων οχήματων περιπολίας κλειστού τύπου (van) για την άμεση επέμβαση σε περιπτώσεις συμβάντων που επηρεάζουν την ομαλή διεξαγωγή της κυκλοφορίας.;2.242.350;2025-02-17;2025-02-17;2025-03-19;50230000-6;Υπηρεσίες επισκευής, συντήρησης και συναφείς υπηρεσίες για οδούς και λοιπό εξοπλισμό;ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ, ., ΔΙΑΧΕΙΡΙΣΗΣ ΜΗΤΡΟΠΟΛΙΤΙΚΩΝ ΥΠΟΔΟΜΩΝ, 1O ( ΠΡΟΓΡΑΜΜΑΤΟΣ & ΜΕΛΕΤΩΝ));ΣΥΓΓΡΟΥ 15-17 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/366975
367613;Δ8182;ΠΑΡΟΧΗ ΥΠΟΣΤΗΡΙΚΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ ΣΤΟ ΠΛΑΙΣΙΟ ΑΡΜΟΔΙΟΤΗΤΩΝ ΤΗΣ ΓΕΝΙΚΗΣ ΔΙΕΥΘΥΝΣΗΣ ΑΠΟΧΕΤΕΥΣΗΣ;10.485.357;2025-02-17;2025-02-17;2025-03-26;;;Ε.ΥΔ.Α.Π., ΟΙΚΟΝΟΜΙΚΟΥ, ΠΡΟΜΗΘΕΙΩΝ, ΥΠΗΡΕΣΙΑ ΔΙΑΓΩΝΙΣΜΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367613
367621;Υπηρεσίες καθαριότητας για τα έτη 2025-2026;Παροχή υπηρεσιών καθαριότητας των χώρων όπου στεγάζονται οι Υπηρεσίες της ΠΕ Χανίων, Α/θμιας& Β΄/θμιας Εκπαίδευσης Χανίων και ΚΕΔΑΣΥ Χανίων για τα έτη 2025, 2026 συνολικού προϋπολογισμού 254.400,00€ συμπεριλαμβανομένου ΦΠΑ και δικαιωμάτων προαίρεσης ποσού 42.400,00€;205.161;2025-02-17;2025-02-17;2025-03-03;90910000-9;Υπηρεσίες καθαρισμού;ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ-ΠΕΡΙΦΕΡΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΝΙΩΝ, ΕΣΩΤΕΡΙΚΗΣ ΛΕΙΤΟΥΡΓΙΑΣ, ΔΙΟΙΚΗΤΙΚΟΥ ΟΙΚΟΝΟΜΙΚΟΥ, ΠΡΟΜΗΘΕΙΩΝ;ΑΡΧ. ΜΑΚΑΡΙΟΥ 22 - ΠΛ. ΕΛΕΥΘΕΡΙΑΣ ΗΡΑΚΛΕΙΟ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367621
367637;Δ8138;ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΔΙΟΙΚΗΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ ΤΗΣ ΔΙΕΥΘΥΝΣΗΣ ΥΓΕΙΑΣ, ΑΣΦΑΛΕΙΑΣ, ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΠΟΙΟΤΗΤΑΣ ΚΑΙ ΤΗΣ ΕΣΩΤΕΡΙΚΗΣ ΥΠΗΡΕΣΙΑΣ ΠΡΟΣΤΑΣΙΑΣ, ΠΡΟΛΗΨΗΣ ΤΗΣ Ε.ΥΔ.Α.Π. Α.Ε.;781.683;2025-02-17;2025-02-17;2025-03-26;;;Ε.ΥΔ.Α.Π., ΟΙΚΟΝΟΜΙΚΟΥ, ΠΡΟΜΗΘΕΙΩΝ, ΥΠΗΡΕΣΙΑ ΔΙΑΓΩΝΙΣΜΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367637
367432;Δ8158;ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΤΕΧΝΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ, ΛΕΙΤΟΥΡΓΙΑΣ ΣΥΣΤΗΜΑΤΟΣ ΤΗΛΕΕΛΕΓΧΟΥ - ΤΗΛΕΧΕΙΡΙΣΜΟΥ ΤΩΝ ΕΓΚΑΤΑΣΤΑΣΕΩΝ ΕΠΕΞΕΡΓΑΣΙΑΣ ΥΔΑΤΟΣ ΤΩΝ ΤΕΣΣΑΡΩΝ (4) ΜΟΝΑΔΩΝ ΕΠΕΞΕΡΓΑΣΙΑΣ ΝΕΡΟΥ (Μ.Ε.Ν.) ΤΗΣ Ε.ΥΔ.Α.Π. Α.Ε.;200.000;2025-02-17;2025-02-17;2025-04-09;50312600-1;Συντήρηση και επισκευή εξοπλισμού τεχνολογίας των πληροφοριών;Ε.ΥΔ.Α.Π., ΟΙΚΟΝΟΜΙΚΟΥ, ΠΡΟΜΗΘΕΙΩΝ, ΥΠΗΡΕΣΙΑ ΔΙΑΓΩΝΙΣΜΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367432
367526;1/2025;ΑΝΟΙΚΤΟΣ ΗΛΕΚΤΡΟΝΙΚΟΣ ΔΙΑΓΩΝΙΣΜΟΣ ΑΝΩ ΤΩΝ ΟΡΙΩΝ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΕΚΠΑΙΔΕΥΤΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ - ΣΧΟΛΗ ΕΠΙΣΤΗΜΩΝ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΤΗΣ ΥΓΕΙΑΣ ΑΡ. ΔΙΑΚ. 1/2025;17.407;2025-02-17;2025-02-17;2025-03-17;30213300-8,30231000-7,32300000-6,38000000-5,48000000-8;Εξοπλισμός εργαστηριακός, οπτικός και ακριβείας (εκτός από γυαλιά),Επιτραπέζιοι ηλεκτρονικοί υπολογιστές,Οθόνες και κονσόλες ηλεκτρονικών υπολογιστών,Πακέτα λογισμικού και συστήματα πληροφορικής,Τηλεοράσεις και ραδιόφωνα, συσκευές εγγραφής και αναπαραγωγής ήχου ή εικόνας;ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ, ΕΙΔΙΚΟΣ ΛΟΓΑΡΙΑΣΜΟΣ ΚΟΝΔΥΛΙΩΝ ΕΡΕΥΝΑΣ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΠΑΤΡΩΝ/Ν, ., ΤΜΗΜΑ ΠΡΟΜΗΘΕΙΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367526
367110;Απεντόμωση - Μυοκτονία - Απολύμανση;Απεντόμωση - Μυοκτονία - Απολύμανση στα Δημοτικά Κτίρια, στις Σχολικές Μονάδες Α’ & Β’ Βάθμιας Εκπαίδευσης & στους Παιδικούς Σταθμούς του Δήμου Θερμαϊκού, Αρ. Μελέτης: 14/2024, Αρ. Διακήρυξης: 93/3401/17-02-2025;30.840;2025-02-17;2025-02-17;2025-03-06;90921000-9,90922000-6,90923000-3;Υπηρεσίες απολύμανσης και εξολόθρευσης,Υπηρεσίες εξόντωσης αρουραίων,Υπηρεσίες καταπολέμησης επιβλαβών εντόμων;ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ, ., OIKONOMΙΚΩΝ ΥΠΗΡΕΣΙΩΝ, .;Μ. ΑΛΕΞΑΝΔΡΟΥ 2 ΠΕΡΑΙΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367110
367759;ΔΙΑΚΗΡΥΞΗ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΕΣΩΤΕΡΙΚΗΣ ΟΣΤΕΟΣΥΝ;ΔΙΑΚΗΡΥΞΗ ΔΗΜΟΣΙΟΥ ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΕΣΩΤΕΡΙΚΗΣ ΟΣΤΕΟΣΥΝΘΕΣΗΣ.;102.508;2025-02-17;2025-03-02;2025-03-09;33141700-7;Ορθοπεδικά υλικά;Γ.Ν. ΑΝΑΤΟΛ. ΑΧΑΪΑΣ(ΑΙΓΙΟ-ΚΑΛΑΒΡΥΤΑ), ., ., .;Άνω Βουλωμένο Αίγιο ΑΙΓΙΟ, Αβέρωφ 12 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367759
367740;ΔΙΑΚΗΡΥΞΗ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΕΞΩΤΕΡΙΚΗΣ ΟΣΤΕΟΣ.;ΔΙΑΚΗΡΥΞΗ ΔΗΜΟΣΙΟΥ ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΕΞΩΤΕΡΙΚΗΣ ΟΣΤΕΟΣΥΝΘΕΣΗΣ;136.034;2025-02-17;2025-03-02;2025-03-09;33141700-7;Ορθοπεδικά υλικά;Γ.Ν. ΑΝΑΤΟΛ. ΑΧΑΪΑΣ(ΑΙΓΙΟ-ΚΑΛΑΒΡΥΤΑ), ., ., .;Άνω Βουλωμένο Αίγιο ΑΙΓΙΟ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367740
